time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
5,348,46.11363636363637,-26.177036500000007,1,2048,,,,,,,,,,,,
32,125,46.125,-24.8248365,2,4096,0.065625,-0.008681774194701574,0.2,10.908882381767034,-2.1902672439813613,10,5.148544788360596,0.008311201,-0.020446062088012695,0.0003,,
43,141,46.14,-24.627362770000005,3,6144,0.039697265625,-0.007325200652121566,0.2,10.760119181871413,-2.1797138929367064,20,2.2220659255981445,0.00838846,0.3612620234489441,0.0003,,
53,152,46.12,-24.266789820000003,4,8192,0.028076171875,-0.004608318200916983,0.2,6.259132912009955,-2.1831968761980534,30,1.985748529434204,0.008511176,0.7158807516098022,0.0003,,
,,,,,10000,0.05107421875,-0.006364913743163924,0.2,3.6802110727876425,-2.182909335196018,40,2.1945598125457764,0.0073797884,0.8756754398345947,0.0003,46.0,-20.35666662454605
62,162,46.04,-24.83322204,5,10240,,,,,,,,,,,,
73,167,46.05,-26.50604256,6,12288,0.03330078125,-0.00563900044944603,0.2,4.059947380423546,-2.1781844913959505,50,1.9309924840927124,0.008127567,0.8965508937835693,0.0003,,
81,175,46.13,-26.265023420000002,7,14336,0.0669921875,-0.0078819764778018,0.2,4.016642094030976,-2.1801949605345725,60,2.1644954681396484,0.010351188,0.8960861563682556,0.0003,,
90,181,46.14,-25.35183518,8,16384,0.05537109375,-0.008486841383273713,0.2,2.440755008161068,-2.1775431208312512,70,1.0798639059066772,0.008569316,0.9169192910194397,0.0003,,
100,184,46.14,-25.322345109999997,9,18432,0.055615234375,-0.007126347269513644,0.2,4.124903515726328,-2.154740934818983,80,1.4310691356658936,0.009015135,0.8985106945037842,0.0003,,
,,,,,20000,0.075439453125,-0.009857593817287125,0.2,2.027494273148477,-2.141738227754831,90,0.5560472011566162,0.01072377,0.9376707673072815,0.0003,46.0,-23.181480967998503
109,187,46.1,-25.542886910000004,10,20480,,,,,,,,,,,,
117,191,46.04,-24.81195725,11,22528,0.07470703125,-0.009913317940663547,0.2,2.1362798377871512,-2.1434989951550962,100,0.7826089859008789,0.011052171,0.9347354769706726,0.0003,,
