time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
65,2048,46.11363636363637,1,-40.539393045454545,31,,,,,,,,,,,,
54,4096,46.10227272727273,2,-40.38393168181818,74,0.0003,-2.191657391190529,0.033740234375,18.94886039197445,0.0068281507,1.9958913326263428,10,0.0010771751403808594,0.2,-0.0060257654666202145,,
,5000,,,,,0.0003,-2.184144213795662,0.02109375,18.376671636849643,0.007876177,3.1305294036865234,20,0.12205171585083008,0.2,-0.00473358289746102,-41.79985395669937,46.0
50,6144,46.1,3,-40.27433654000001,121,,,,,,,,,,,,
52,8192,46.12,4,-40.537893440000005,155,0.0003,-2.1811205469071866,0.03525390625,7.7181543607264755,0.008616505,1.2542027235031128,30,0.41075265407562256,0.2,-0.007645403139758855,,
,10000,,,,,0.0003,-2.1742201909422874,0.05634765625,5.925475696101785,0.010292117,2.1059460639953613,40,0.6231788396835327,0.2,-0.009842237390694208,-42.498822557926175,46.0
51,10240,46.16,5,-40.46761909,199,,,,,,,,,,,,
52,12288,46.17,6,-41.18067708,233,0.0003,-2.1628107868134974,0.075830078125,3.233138635382056,0.007763031,0.5095298290252686,50,0.8390201926231384,0.2,-0.011015889074769802,,
58,14336,46.15,7,-40.92524018,243,0.0003,-2.1342170305550097,0.0833984375,3.0188684683293103,0.009787226,1.0109472274780273,60,0.8572784066200256,0.2,-0.010667606265633367,,
,15000,,,,,0.0003,-2.125970139354467,0.079833984375,2.491414317116141,0.010406531,1.0741559267044067,70,0.8762223720550537,0.2,-0.010808322101365776,-40.05000019073486,46.0
53,16384,46.06,8,-41.036306610000004,305,,,,,,,,,,,,
52,18432,46.08,9,-40.76651937,349,0.0003,-2.135225058346987,0.071728515625,2.1344102073460816,0.008959096,0.609300971031189,80,0.885772168636322,0.2,-0.010536017519189044,,
,20000,,,,,0.0003,-2.126978673040867,0.065185546875,1.691234309412539,0.008602335,0.5276318788528442,90,0.9116819500923157,0.2,-0.010317760307225398,-39.33547177314758,46.0
52,20480,46.11,10,-40.33661132,392,,,,,,,,,,,,
52,22528,46.09,11,-40.1278339,430,0.0003,-2.1273340113461017,0.091796875,1.894147102534771,0.010192178,0.4918937683105469,100,0.894705057144165,0.2,-0.014159974502399563,,
53,24576,46.09,12,-40.19919793,462,0.0003,-2.1113325342535973,0.08662109375,1.6605751359835268,0.0093545485,0.5988345146179199,110,0.8912137746810913,0.2,-0.009024285574560054,,
,25000,,,,,0.0003,-2.1040180012583733,0.108447265625,1.153692586813122,0.00973969,0.35764819383621216,120,0.9264588356018066,0.2,-0.011580974425305613,-41.492239797115325,46.0
54,26624,46.09,13,-40.19331924000001,488,,,,,,,,,,,,
54,28672,46.07,14,-39.94924205,521,0.0003,-2.123842539638281,0.1115234375,2.17723210118711,0.011092351,0.8177459239959717,130,0.8887214660644531,0.2,-0.014181028114398942,,
,30000,,,,,0.0003,-2.1098815269768236,0.0998046875,1.1321043242700397,0.009838451,0.17921830713748932,140,0.9037203788757324,0.2,-0.011822780515649356,-40.93377773761749,46.0
52,30720,46.09,15,-39.786172230000005,585,,,,,,,,,,,,
50,32768,46.09,16,-39.77160128999999,648,0.0003,-2.1160708978772163,0.107763671875,1.2340311269275843,0.0097752465,0.3944431245326996,150,0.9100264310836792,0.2,-0.012359590822597966,,
48,34816,46.1,17,-40.44439965,711,0.0003,-2.1108262196183203,0.08876953125,1.9520269475877285,0.009730532,0.49593764543533325,160,0.8718627095222473,0.2,-0.012629574138554745,,
,35000,,,,,0.0003,-2.1243887953460217,0.14541015625,1.3166068226099015,0.010863064,0.34461838006973267,170,0.8920615911483765,0.2,-0.01299803556757979,-37.32126970291138,46.0
47,36864,46.11,18,-40.62870517,777,,,,,,,,,,,,
45,38912,46.12,19,-40.52932911,847,0.0003,-2.1006747923791407,0.063525390625,1.3031515070237218,0.008666116,0.33476006984710693,180,0.9104599952697754,0.2,-0.0074587531329598274,,
,40000,,,,,0.0003,-2.085466826707125,0.126953125,0.9218669454567134,0.012217533,0.22705170512199402,190,0.9125044345855713,0.2,-0.014661740130395628,-37.397089946269986,46.0
45,40960,46.09,20,-41.342358440000005,907,,,,,,,,,,,,
44,43008,46.08,21,-41.28867847000001,965,0.0003,-2.0764159858226776,0.12109375,1.4998460426926612,0.010246826,0.5322178602218628,200,0.916566014289856,0.2,-0.01364612489414867,,
,45000,,,,,0.0003,-2.1078884579241275,0.097119140625,1.3894985297694802,0.010264231,0.4656521677970886,210,0.9148757457733154,0.2,-0.012320250141783617,-41.863496327400206,46.0
44,45056,46.08,22,-41.13365999,1020,,,,,,,,,,,,
43,47104,46.07,23,-40.60933908999999,1085,0.0003,-2.0669704608619215,0.10625,1.046016244404018,0.011345337,0.2337646186351776,220,0.9357302188873291,0.2,-0.012236443723668344,,
42,49152,46.05,24,-40.562619680000005,1166,0.0003,-2.055490941554308,0.12314453125,1.202337979990989,0.008687981,0.42296987771987915,230,0.908803403377533,0.2,-0.014335356155061162,,
,50000,,,,,0.0003,-2.0446600794792174,0.11044921875,1.1130546149797738,0.011395588,0.38612237572669983,240,0.9176048636436462,0.2,-0.014182881714077666,-38.293328642845154,46.2
41,51200,46.08,25,-40.47869701,1227,,,,,,,,,,,,
41,53248,46.09,26,-40.67115601,1285,0.0003,-2.053512477129698,0.110302734375,1.07907536290586,0.00973949,0.24076016247272491,250,0.9213054180145264,0.2,-0.014425786733045242,,
,55000,,,,,0.0003,-2.0355827204883097,0.1078125,1.2645455474965275,0.009715265,0.4533895254135132,260,0.917974591255188,0.2,-0.012891090058838017,-38.77759798765182,46.4
40,55296,46.08,27,-41.106067620000005,1350,,,,,,,,,,,,
40,57344,46.09,28,-41.306568999999996,1408,0.0003,-2.01282753534615,0.10615234375,1.39137289468199,0.00833552,0.27099114656448364,270,0.9149901270866394,0.2,-0.012511181287118233,,
40,59392,46.06,29,-41.067893989999995,1479,0.0003,-1.9968698255717754,0.12607421875,1.181095571257174,0.010626487,0.33237698674201965,280,0.9312009811401367,0.2,-0.015954230388160795,,
,60000,,,,,0.0003,-1.9663080349564552,0.141259765625,1.2318020466715098,0.009328473,0.28160420060157776,290,0.9120301008224487,0.2,-0.014673475487506948,-47.22123436927795,46.0
39,61440,46.07,30,-40.8508119,1544,,,,,,,,,,,,
39,63488,46.05,31,-40.69028585,1604,0.0003,-1.9650479696691037,0.154248046875,1.2085071373730898,0.0118935425,0.24878990650177002,300,0.9240455627441406,0.2,-0.016837473746272737,,
,65000,,,,,0.0003,-1.971780714392662,0.134326171875,0.8392400104552508,0.011819867,0.12540081143379211,310,0.9242364168167114,0.2,-0.016423642003792337,-39.428835809230804,46.2
39,65536,46.06,32,-41.11806420999999,1661,,,,,,,,,,,,
39,67584,46.09,33,-41.02925243000001,1715,0.0003,-1.9531931836158036,0.0890625,1.3459234752692282,0.009116242,0.23733794689178467,320,0.8999661207199097,0.2,-0.011489392392104492,,
39,69632,46.1,34,-40.91943999,1778,0.0003,-1.917010325565934,0.109765625,1.543196886125952,0.008835996,0.22140738368034363,330,0.8916878700256348,0.2,-0.014432350776041858,,
,70000,,,,,0.0003,-1.937250218167901,0.14814453125,1.0001447319053114,0.011377806,0.12804198265075684,340,0.9367108345031738,0.2,-0.014852420636452734,-40.18967899084091,46.0
38,71680,46.11,35,-39.89229252,1839,,,,,,,,,,,,
38,73728,46.11,36,-40.679095430000004,1916,0.0003,-1.9493997551500797,0.106298828125,1.0192702692002058,0.010581698,0.23531588912010193,350,0.9022361040115356,0.2,-0.011390234931604936,,
,75000,,,,,0.0003,-1.9083921868354081,0.096826171875,0.9694344329647719,0.009364238,0.3011995851993561,360,0.9229812622070312,0.2,-0.01078719726356212,-37.66518529653549,46.0
37,75776,46.06,37,-40.73778633,2008,,,,,,,,,,,,
37,77824,46.07,38,-40.33616246,2100,0.0003,-1.9512450855225325,0.112109375,0.9286258151754737,0.008727649,0.16715888679027557,370,0.9366727471351624,0.2,-0.013706816837657242,,
36,79872,46.08,39,-40.74496671,2186,0.0003,-1.927093695476651,0.129296875,0.7259945176541805,0.0111340135,0.145350843667984,380,0.9222424626350403,0.2,-0.015152427842258476,,
,80000,,,,,0.0003,-1.9545112576335668,0.124951171875,1.0571012963540851,0.01143793,0.2683468461036682,390,0.917148768901825,0.2,-0.017265457299072296,-42.85772477388382,46.0
36,81920,46.07,40,-40.62538848,2272,,,,,,,,,,,,
35,83968,46.1,41,-40.828158040000005,2350,0.0003,-1.9177662648260594,0.1326171875,0.908778684027493,0.012729722,0.3197607398033142,400,0.9170131683349609,0.2,-0.015384245611494407,,
,85000,,,,,0.0003,-1.8971932336688042,0.124072265625,0.9449677743483335,0.008501701,0.272211492061615,410,0.9096114635467529,0.2,-0.012395411706529557,-44.129735589027405,46.2
35,86016,46.08,42,-40.860450310000004,2414,,,,,,,,,,,,
36,88064,46.07,43,-40.74622024,2438,0.0003,-1.8738317288458348,0.1337890625,0.9361600130330772,0.011359043,0.20697709918022156,420,0.9048482179641724,0.2,-0.01696587890619412,,
,90000,,,,,0.0003,-1.891637298092246,0.10185546875,0.8897902639582753,0.009822833,0.16514991223812103,430,0.9306803941726685,0.2,-0.013179777504410595,-38.117623519897464,46.0
35,90112,46.12,44,-40.48414467999999,2525,,,,,,,,,,,,
35,92160,46.17,45,-40.353244270000005,2602,0.0003,-1.8956504955887794,0.10234375,0.962178374780342,0.0103458725,0.16716159880161285,440,0.9166087508201599,0.2,-0.012322501739254222,,
35,94208,46.17,46,-39.38762537,2674,0.0003,-1.9447816073894502,0.162841796875,0.8942498811520636,0.013201225,0.12501023709774017,450,0.9169173836708069,0.2,-0.014960568322567269,,
,95000,,,,,0.0003,-1.920258018746972,0.124365234375,0.7257287824060767,0.012949091,0.1395515352487564,460,0.9167469143867493,0.2,-0.01265407887112815,-41.43034375905991,46.0
34,96256,46.11,47,-39.37168192,2752,,,,,,,,,,,,
34,98304,46.14,48,-39.92359635,2831,0.0003,-1.8692879550158978,0.11748046875,0.6207488920073956,0.01115953,0.05554506927728653,470,0.9239619970321655,0.2,-0.013273888092953712,,
,100000,,,,,0.0003,-1.8862533327192068,0.127294921875,0.9992723239585757,0.011905441,0.24274449050426483,480,0.9197939038276672,0.2,-0.017375633271876724,-34.72962962388992,46.0
34,100352,46.19,49,-39.504045559999994,2897,,,,,,,,,,,,
34,102400,46.14,50,-39.92466452000001,2969,0.0003,-1.8323833264410496,0.162109375,0.5941776510793716,0.01339964,0.06763751804828644,490,0.9468981623649597,0.2,-0.016940243061981164,,
34,104448,46.1,51,-40.921072020000004,3041,0.0003,-1.8661736480891704,0.128369140625,0.8892982991412282,0.010248745,0.2545832097530365,500,0.9103438854217529,0.2,-0.013371258939150721,,
,105000,,,,,0.0003,-1.8689424820244311,0.114599609375,1.0547492957673967,0.012080399,0.27931448817253113,510,0.9058705568313599,0.2,-0.014502243719471153,-39.406128561496736,46.0
34,106496,46.11,52,-40.20345056,3122,,,,,,,,,,,,
33,108544,46.16,53,-40.11755856,3206,0.0003,-1.8971894223242998,0.1134765625,1.2283126667141915,0.01218578,0.2029477059841156,520,0.9153382778167725,0.2,-0.011056127176561858,,
,110000,,,,,0.0003,-1.8562104351818562,0.130615234375,0.5607632444472983,0.010985022,0.11920960247516632,530,0.906230092048645,0.2,-0.012066828398383222,-41.88603582382202,46.0
33,110592,46.16,54,-39.68583651,3281,,,,,,,,,,,,
33,112640,46.06,55,-40.41286512,3353,0.0003,-1.852252347022295,0.114501953125,0.7631089543923736,0.010250513,0.11720627546310425,540,0.8879613876342773,0.2,-0.014742909210326616,,
33,114688,46.04,56,-41.640484019999995,3422,0.0003,-1.839435712620616,0.10966796875,0.8348996975459159,0.009019377,0.2203877866268158,550,0.9002381563186646,0.2,-0.010334272624459118,,
,115000,,,,,0.0003,-1.894390420988202,0.12177734375,0.7812618028838187,0.010945674,0.1341230869293213,560,0.9282495379447937,0.2,-0.012753060384420678,-40.00096567869186,46.0
33,116736,46.04,57,-40.47715405,3494,,,,,,,,,,,,
33,118784,46.04,58,-40.05194642,3533,0.0003,-1.8683923337608577,0.12119140625,0.9945354035589844,0.01090697,0.17958669364452362,570,0.9168453216552734,0.2,-0.013922207152063493,,
,120000,,,,,0.0003,-1.8336232606321574,0.132763671875,0.8948265615850687,0.013147815,0.21358737349510193,580,0.8933172821998596,0.2,-0.014225266275752801,-42.555934846401215,46.0
33,120832,46.06,59,-41.04266502,3590,,,,,,,,,,,,
33,122880,46.09,60,-41.27583052,3651,0.0003,-1.8748994030058383,0.097705078125,0.9290254388004542,0.010107454,0.15753094851970673,590,0.9152488112449646,0.2,-0.013184167709550821,,
33,124928,46.17,61,-40.3698294,3722,0.0003,-1.8465611062943936,0.146630859375,0.797604405740276,0.014040764,0.18124419450759888,600,0.904316246509552,0.2,-0.01588340842135949,,
,125000,,,,,0.0003,-1.860262718051672,0.08720703125,0.9665041188243777,0.009742759,0.1898137629032135,610,0.9151379466056824,0.2,-0.012502819969085976,-40.09010565280914,46.0
33,126976,46.17,62,-40.02485373,3789,,,,,,,,,,,,
33,129024,46.12,63,-39.74190525,3865,0.0003,-1.8815864711999892,0.11904296875,0.8553172199055552,0.0111274365,0.14765562117099762,620,0.9020814895629883,0.2,-0.015396744359168223,,
,130000,,,,,0.0003,-1.8994536392390728,0.129052734375,0.7929215717595071,0.012165118,0.12788575887680054,630,0.9090994000434875,0.2,-0.01447969993314473,-37.22214707136154,46.0
33,131072,46.08,64,-39.952047560000004,3949,,,,,,,,,,,,
33,133120,46.08,65,-40.675609370000004,3998,0.0003,-1.8690993022173643,0.1001953125,1.1996478592045605,0.011497882,0.1200186014175415,640,0.8951324820518494,0.2,-0.015343250738806092,,
,135000,,,,,0.0003,-1.8768759246915578,0.135595703125,1.0696959637571126,0.012485106,0.1283431500196457,650,0.8707116842269897,0.2,-0.013826269906712697,-42.49888870716095,46.2
33,135168,46.12,66,-40.31685306,4009,,,,,,,,,,,,
34,137216,46.13,67,-40.395082859999995,4019,0.0003,-1.8506062228232623,0.126806640625,0.8165951273404062,0.009971993,0.0955214723944664,660,0.9110710620880127,0.2,-0.01335717448964715,,
34,139264,46.09,68,-40.46649749000001,4029,0.0003,-1.8463485009968281,0.14130859375,0.8317350747529417,0.015564229,0.2227783352136612,670,0.8608309030532837,0.2,-0.013307305263879243,,
,140000,,,,,0.0003,-1.853439151868224,0.1439453125,0.8152692666742951,0.012525313,0.10579052567481995,680,0.901688814163208,0.2,-0.01697927128407173,-45.32407397031784,46.2
34,141312,46.14,69,-40.34231073,4039,,,,,,,,,,,,
35,143360,46.11,70,-39.99336684,4049,0.0003,-1.855523618683219,0.14111328125,0.5806432589422912,0.013841336,0.12510612607002258,690,0.9366412162780762,0.2,-0.01617365941638127,,
,145000,,,,,0.0003,-1.8578214939683675,0.133349609375,0.8810488909948617,0.010900966,0.08392196893692017,700,0.929119348526001,0.2,-0.014744967909064145,-42.17791420221329,46.0
35,145408,46.11,71,-40.42787877999999,4060,,,,,,,,,,,,
36,147456,46.08,72,-41.00936447,4071,0.0003,-1.8724454671144486,0.131298828125,0.671527580730617,0.011565023,0.14108559489250183,710,0.9248474836349487,0.2,-0.012460134815773927,,
36,149504,46.08,73,-40.786758490000004,4080,0.0003,-1.8586955197155475,0.1220703125,0.8685827645007521,0.0151304845,0.2114073932170868,720,0.9240992069244385,0.2,-0.016972962889121847,,
,150000,,,,,0.0003,-1.8872748926281928,0.105078125,0.8322394084651024,0.010051213,0.17287883162498474,730,0.8977662920951843,0.2,-0.010934177844319493,-44.338416767120364,46.2
37,151552,46.06,74,-40.995129219999995,4091,,,,,,,,,,,,
